Sexo,Escolaridade,Renda_Media,Ano,Trimestre
1,2.0,750.0,2025,3
1,3.0,746.9444444444445,2025,3
1,5.0,1403.4022988505749,2025,3
1,6.0,1951.8,2025,3
1,7.0,1353.5250205086136,2025,3
1,8.0,1284.0,2025,3
1,9.0,1922.6666666666667,2025,3
1,10.0,2038.009590792839,2025,3
1,11.0,1851.0196078431368,2025,3
1,12.0,5368.424107142857,2025,3
1,13.0,9660.286624203822,2025,3
1,14.0,11223.809523809525,2025,3
1,15.0,12357.333333333334,2025,3
2,2.0,,2025,3
2,3.0,833.4,2025,3
2,5.0,788.2666666666667,2025,3
2,6.0,478.0,2025,3
2,7.0,920.3755458515284,2025,3
2,8.0,742.7857142857143,2025,3
2,9.0,3634.0,2025,3
2,10.0,1538.378233719893,2025,3
2,11.0,1231.6909090909091,2025,3
2,12.0,3610.3513011152418,2025,3
2,13.0,5247.941422594142,2025,3
2,14.0,7572.535714285715,2025,3
2,15.0,11501.0,2025,3
1,2.0,,2025,4
1,3.0,1152.1463414634147,2025,4
1,5.0,1222.5106382978724,2025,4
1,6.0,1466.6666666666667,2025,4
1,7.0,1370.875621890547,2025,4
1,8.0,1269.851851851852,2025,4
1,9.0,2085.714285714286,2025,4
1,10.0,2130.371226718048,2025,4
1,11.0,3339.230769230769,2025,4
1,12.0,6251.755319148936,2025,4
1,13.0,10107.398876404495,2025,4
1,14.0,10480.76923076923,2025,4
1,15.0,10339.117647058823,2025,4
