Idade,Renda_Media,Ano,Trimestre
23,1098.1555555555556,2021,2
24,1166.2763157894738,2021,2
25,1132.6440677966102,2021,2
26,1206.340206185567,2021,2
27,1377.1855670103091,2021,2
28,1222.4222222222222,2021,2
29,1454.0526315789473,2021,2
30,1482.5980392156862,2021,2
31,1412.1842105263158,2021,2
32,1600.312,2021,2
33,1652.142857142857,2021,2
34,1596.1120689655172,2021,2
35,1503.1344537815123,2021,2
36,1552.389705882353,2021,2
37,1529.071428571429,2021,2
38,1598.0,2021,2
39,1710.111111111111,2021,2
40,2312.699346405229,2021,2
41,1841.2307692307693,2021,2
42,1831.7578125,2021,2
43,2494.4253731343283,2021,2
44,2346.818181818182,2021,2
45,1759.8676470588234,2021,2
46,1581.2254901960785,2021,2
47,2112.043478260869,2021,2
48,1810.2155172413795,2021,2
49,1367.1239669421489,2021,2
50,1999.4859813084115,2021,2
51,1266.2209302325582,2021,2
52,1631.1979166666667,2021,2
53,2150.135802469136,2021,2
54,2178.1132075471696,2021,2
55,1519.513888888889,2021,2
56,2389.8529411764707,2021,2
57,1697.6666666666667,2021,2
58,2331.694915254237,2021,2
59,3200.744680851064,2021,2
60,1548.1521739130435,2021,2
61,2237.906976744186,2021,2
62,4555.128205128205,2021,2
63,1781.4814814814815,2021,2
64,3832.521739130435,2021,2
65,2107.5,2021,2
66,4388.428571428572,2021,2
67,1355.8823529411766,2021,2
68,3053.076923076923,2021,2
69,1315.3846153846157,2021,2
70,1587.5,2021,2
71,7650.0,2021,2
72,740.0,2021,2
73,1100.0,2021,2
74,1513.3333333333333,2021,2
75,3000.0,2021,2
76,2200.0,2021,2
77,5000.0,2021,2
78,1000.0,2021,2
79,7000.0,2021,2
80,2300.0,2021,2
81,1300.0,2021,2
82,1150.0,2021,2
83,,2021,2
84,,2021,2
85,,2021,2
86,,2021,2
87,,2021,2
88,,2021,2
89,,2021,2
90,,2021,2
91,,2021,2
92,,2021,2
93,,2021,2
94,,2021,2
95,,2021,2
96,,2021,2
98,,2021,2
99,,2021,2
100,,2021,2
106,,2021,2
0,,2021,3
1,,2021,3
2,,2021,3
3,,2021,3
4,,2021,3
5,,2021,3
6,,2021,3
7,,2021,3
8,,2021,3
9,,2021,3
10,,2021,3
11,,2021,3
12,,2021,3
13,,2021,3
14,100.0,2021,3
15,444.0,2021,3
16,436.1111111111111,2021,3
17,525.925925925926,2021,3
18,690.3508771929825,2021,3
19,797.8888888888889,2021,3
20,811.5104166666666,2021,3
21,923.3796296296296,2021,3
22,1033.888888888889,2021,3
23,1196.969387755102,2021,3
24,1171.4392523364486,2021,3
25,1071.8181818181818,2021,3
26,1508.2954545454545,2021,3
27,1425.0564516129032,2021,3
28,1518.726618705036,2021,3
29,1237.1735537190082,2021,3
30,1259.0152671755725,2021,3
31,1516.1209677419354,2021,3
